Name,Class Level,Subject,Code,Sort Order,Is Active
PERIODIC CLASSIFICATION OF ELEMENTS,Class 8,CHEMISTRY,PCOE,1,TRUE
CHEMICAL BONDING,Class 8,CHEMISTRY,CB,1,TRUE
METALS AND NON-METALS,Class 8,CHEMISTRY,MAN,1,TRUE
ELECTROLYSIS,Class 8,CHEMISTRY,ELE2,1,TRUE
CHEMISTRY OF SOME COMMON GASES,Class 8,CHEMISTRY,COSCG,1,TRUE
CHEMICAL REACTIONS,Class 8,CHEMISTRY,CR,1,TRUE
"FUEL, COMBUSTION AND FLAME",Class 8,CHEMISTRY,FCAF,1,TRUE
CARBON AND ITS COMPOUNDS,Class 8,CHEMISTRY,CAIC,1,TRUE
RATIONAL & IRRATIONAL NUMBERS,Class 8,MATHEMATICS,RIN,1,TRUE
POLYNOMIALS AND FACTORISATION,Class 8,MATHEMATICS,PAF,1,TRUE
ALGEBRAIC IDENTITIES & THEIR APPLICATIONS,Class 8,MATHEMATICS,AITA,1,TRUE
RATIONAL EXPONENTS AND RADICALS,Class 8,MATHEMATICS,REAR,1,TRUE
BASIC CONCEPT OF GRAPH,Class 8,MATHEMATICS,BCOG,1,TRUE
SIMPLE INTEREST & COMPOUND INTEREST,Class 8,MATHEMATICS,SICI,1,TRUE
GEOMETRY – TRIANGLES AND QUADRILATERALS,Class 8,MATHEMATICS,GTAQ,1,TRUE
STATISTICS,Class 8,MATHEMATICS,STA2,1,TRUE
"PROFIT, LOSS AND DISCOUNT",Class 8,MATHEMATICS,PLAD,1,TRUE
MENSURATION – TRIANGLES & QUADRILATERALS,Class 8,MATHEMATICS,MTQ,1,TRUE
CELL & MICROSCOPY,Class 8,BIOLOGY,CM,1,TRUE
MICROORGANISMS: FRIEND OR FOE,Class 8,BIOLOGY,MFOF,1,TRUE
ENDOCRINE SYSTEM & ADOLESCENCE,Class 8,BIOLOGY,ESA,1,TRUE
POPULATION & HEALTH ORGANISATIONS,Class 8,BIOLOGY,PHO,1,TRUE
NATURAL RESOURCES : CONSERVATION AND MANAGEMENT,Class 8,BIOLOGY,NRCAM,1,TRUE
TRANSPIRATION,Class 8,BIOLOGY,TRA,1,TRUE
CROP PRODUCTION AND MANAGEMENT,Class 8,BIOLOGY,CPAM,1,TRUE
MOTION,Class 9,PHYSICS,MOT,1,TRUE
NEWTON’S LAWS OF MOTION,Class 9,PHYSICS,NLOM,1,TRUE
"WORK, POWER AND ENERGY",Class 9,PHYSICS,WPAE,1,TRUE
SOUND,Class 9,PHYSICS,SOU,1,TRUE
GRAVITATION,Class 9,PHYSICS,GRA2,1,TRUE
STRUCTURE OF ATOM,Class 9,CHEMISTRY,SOA,1,TRUE
MOLE CONCEPT,Class 9,CHEMISTRY,MC,1,TRUE
SOLUTION,Class 9,CHEMISTRY,SOL,1,TRUE
STUDY OF GAS LAWS,Class 9,CHEMISTRY,SOGL,1,TRUE
MINERAL ACIDS,Class 9,CHEMISTRY,MA,1,TRUE
ANALYTICAL CHEMISTRY,Class 9,CHEMISTRY,AC,1,TRUE
WATER,Class 9,CHEMISTRY,WAT2,1,TRUE
ELECTROLYSIS,Class 9,CHEMISTRY,ELE3,1,TRUE
SIMULTANEOUS LINEAR EQUATIONS IN TWO VARIABLES,Class 9,MATHEMATICS,SLEIT,1,TRUE
"INDICES, SURDS AND LOGARITHM",Class 9,MATHEMATICS,ISAL,1,TRUE
GEOMETRY - TRIANGLES,Class 9,MATHEMATICS,GT,1,TRUE
GEOMETRY - QUADRILATERALS,Class 9,MATHEMATICS,GQ,1,TRUE
TRIGONOMETRY,Class 9,MATHEMATICS,TRI,1,TRUE
CO-ORDINATE GEOMETRY,Class 9,MATHEMATICS,CG,1,TRUE
MENSURATION - SOLIDS,Class 9,MATHEMATICS,MS,1,TRUE
SET THEORY,Class 9,MATHEMATICS,ST,1,TRUE
MATRICES,Class 9,MATHEMATICS,MAT2,1,TRUE
THE CHEMICAL BASIS OF LIFE: BIOMOLECULES,Class 9,BIOLOGY,TCBOL,1,TRUE
TISSUES,Class 9,BIOLOGY,TIS,1,TRUE
NUTRITION,Class 9,BIOLOGY,NUT,1,TRUE
RESPIRATION,Class 9,BIOLOGY,RES,1,TRUE
CONDUCTION IN PLANTS,Class 9,BIOLOGY,CIP,1,TRUE
CIRCULATION IN ANIMALS,Class 9,BIOLOGY,CIA,1,TRUE
DIVERSITY IN LIVING ORGANISMS,Class 9,BIOLOGY,DILO,1,TRUE
INTRODUCTION TO VECTOR ALGEBRA,Class 10,PHYSICS,ITVA,1,TRUE
ELECTRICITY,Class 10,PHYSICS,ELE4,1,TRUE
MAGNETIC EFFECT OF ELECTRIC CURRENT,Class 10,PHYSICS,MEOEC,1,TRUE
REFRACTION OF LIGHT AND LENSES,Class 10,PHYSICS,ROLAL,1,TRUE
DISPERSION OF LIGHT,Class 10,PHYSICS,DOL,1,TRUE
Light (WB),Class 10,PHYSICS,LW,1,TRUE
Electricity (WB),Class 10,PHYSICS,EW,1,TRUE
Atomic nucleus (WB),Class 10,PHYSICS,ANW,1,TRUE
Behaviour of gas (WB),Class 10,PHYSICS,BOGW,1,TRUE
Thermal phenomena (WB),Class 10,PHYSICS,TPW,1,TRUE
Light - Reflection and refraction (CBSE),Class 10,PHYSICS,LRARC,1,TRUE
Human eye and colourful world (CBSE),Class 10,PHYSICS,HEACW,1,TRUE
Electricity (CBSE),Class 10,PHYSICS,EC,1,TRUE
Magnetic effect of electric current (CBSE),Class 10,PHYSICS,MEOEC2,1,TRUE
Refraction-1 (ICSE),Class 10,PHYSICS,RI,1,TRUE
Refraction-2 (ICSE),Class 10,PHYSICS,RI2,1,TRUE
Spectrum (ICSE),Class 10,PHYSICS,SI,1,TRUE
Current electricity (ICSE),Class 10,PHYSICS,CEI,1,TRUE
Household circuits (ICSE),Class 10,PHYSICS,HCI,1,TRUE
Electromagnetism (ICSE),Class 10,PHYSICS,EI,1,TRUE
Radioactivity (ICSE),Class 10,PHYSICS,RI3,1,TRUE
Sound (ICSE),Class 10,PHYSICS,SI2,1,TRUE
Calorimetry (ICSE),Class 10,PHYSICS,CI,1,TRUE
Force (ICSE),Class 10,PHYSICS,FI,1,TRUE
Work power energy (ICSE),Class 10,PHYSICS,WPEI,1,TRUE
Machines (ICSE),Class 10,PHYSICS,MI,1,TRUE
ATOMIC STRUCTURE,Class 10,CHEMISTRY,AS2,1,TRUE
PERIODIC PROPERTIES,Class 10,CHEMISTRY,PP,1,TRUE
CHEMICAL BONDING,Class 10,CHEMISTRY,CB2,1,TRUE
ORGANIC CHEMISTRY,Class 10,CHEMISTRY,OC,1,TRUE
Chemical calculation (WB),Class 10,CHEMISTRY,CCW,1,TRUE
Periodic table (WB),Class 10,CHEMISTRY,PTW,1,TRUE
Chemical bonding (WB),Class 10,CHEMISTRY,CBW,1,TRUE
Electricity and chemical reaction (WB),Class 10,CHEMISTRY,EACRW,1,TRUE
Metallurgy (WB),Class 10,CHEMISTRY,MW,1,TRUE
Inorganic chemistry in the laboratory and in industry (WB),Class 10,CHEMISTRY,ICITL,1,TRUE
Concern about our environment (WB),Class 10,CHEMISTRY,CAOEW,1,TRUE
Organic chemistry (WB),Class 10,CHEMISTRY,OCW,1,TRUE
Chemical reaction and equation (CBSE),Class 10,CHEMISTRY,CRAEC,1,TRUE
Metals and non-metals (CBSE),Class 10,CHEMISTRY,MANC,1,TRUE
"Acids, bases and salts (CBSE)",Class 10,CHEMISTRY,ABASC,1,TRUE
Carbon and its compounds (CBSE),Class 10,CHEMISTRY,CAICC,1,TRUE
Mole concept and stoichiometry (ICSE),Class 10,CHEMISTRY,MCASI,1,TRUE
Periodic properties (ICSE),Class 10,CHEMISTRY,PPI,1,TRUE
Chemical bonding (ICSE),Class 10,CHEMISTRY,CBI,1,TRUE
Electrolysis (ICSE),Class 10,CHEMISTRY,EI2,1,TRUE
Metallurgy (ICSE),Class 10,CHEMISTRY,MI2,1,TRUE
"Study of acids, bases and salts  (ICSE)",Class 10,CHEMISTRY,SOABA,1,TRUE
Study of compounds (ICSE),Class 10,CHEMISTRY,SOCI,1,TRUE
Analytical chemistry (ICSE),Class 10,CHEMISTRY,ACI,1,TRUE
Organic chemistry ( (ICSE),Class 10,CHEMISTRY,OCI,1,TRUE
QUADRATIC EQUATION,Class 10,MATHEMATICS,QE,1,TRUE
LINEAR INEQUATIONS,Class 10,MATHEMATICS,LI,1,TRUE
ARITHMETIC PROGRESSION,Class 10,MATHEMATICS,AP2,1,TRUE
HEIGHTS AND DISTANCES,Class 10,MATHEMATICS,HAD,1,TRUE
TRIGONOMETRICAL RATIOS OF ASSOCIATED ANGLES AND COMPOUND ANGLE,Class 10,MATHEMATICS,TROAA,1,TRUE
STATISTICS,Class 10,MATHEMATICS,STA3,1,TRUE
GEOMETRY - CIRCLES,Class 10,MATHEMATICS,GC,1,TRUE
PROBABILITY,Class 10,MATHEMATICS,PRO,1,TRUE
Trigonometry: Concept of measurement of angle (WB),Class 10,MATHEMATICS,TCOMO,1,TRUE
Trigonometric ratios and trigonometric identities (WB),Class 10,MATHEMATICS,TRATI,1,TRUE
Trigonometric ratios of complementary angle (WB),Class 10,MATHEMATICS,TROCA,1,TRUE
Application of trigonometric ratios: Heights and distances (WB),Class 10,MATHEMATICS,AOTRH,1,TRUE
Rectangular parallelopiped or cuboid (WB),Class 10,MATHEMATICS,RPOCW,1,TRUE
Right circular cylinder (WB),Class 10,MATHEMATICS,RCCW,1,TRUE
Sphere (WB),Class 10,MATHEMATICS,SW,1,TRUE
Right circular cone (WB),Class 10,MATHEMATICS,RCCW2,1,TRUE
Real life problems related to different solid objects (WB),Class 10,MATHEMATICS,RLPRT,1,TRUE
Quadratic equations in one variable (WB),Class 10,MATHEMATICS,QEIOV,1,TRUE
Quadratic surd (WB),Class 10,MATHEMATICS,QSW,1,TRUE
Ratio and proportion (WB),Class 10,MATHEMATICS,RAPW,1,TRUE
Variation (WB),Class 10,MATHEMATICS,VW,1,TRUE
"Statistics: Mean, median, ogive, mode (WB)",Class 10,MATHEMATICS,SMMOM,1,TRUE
Simple interest (WB),Class 10,MATHEMATICS,SIW,1,TRUE
Compound interest and uniform rate of increase or decrease (WB),Class 10,MATHEMATICS,CIAUR,1,TRUE
Partnership business (WB),Class 10,MATHEMATICS,PBW,1,TRUE
Similarity (WB),Class 10,MATHEMATICS,SW2,1,TRUE
Pythagoras theorem (WB),Class 10,MATHEMATICS,PTW2,1,TRUE
Theorems related to circle (WB),Class 10,MATHEMATICS,TRTCW,1,TRUE
Theorems related to angles in a circle (WB),Class 10,MATHEMATICS,TRTAI,1,TRUE
Theorems related to cyclic quadrilateral (WB),Class 10,MATHEMATICS,TRTCQ,1,TRUE
Theorems related to tangent to a circle (WB),Class 10,MATHEMATICS,TRTTT,1,TRUE
Introduction to trigonometry (CBSE),Class 10,MATHEMATICS,ITTC,1,TRUE
Some applications to trigonometry (CBSE),Class 10,MATHEMATICS,SATTC,1,TRUE
Areas related to circles (CBSE),Class 10,MATHEMATICS,ARTCC,1,TRUE
Surface areas and volumes (CBSE),Class 10,MATHEMATICS,SAAVC,1,TRUE
Polynomials (CBSE),Class 10,MATHEMATICS,PC,1,TRUE
Quadratic equation (CBSE),Class 10,MATHEMATICS,QEC,1,TRUE
Arithmetic progressions (CBSE),Class 10,MATHEMATICS,APC,1,TRUE
Real numbers (CBSE),Class 10,MATHEMATICS,RNC,1,TRUE
Pair of linear equations in two variables (CBSE),Class 10,MATHEMATICS,POLEI,1,TRUE
Statistics (CBSE),Class 10,MATHEMATICS,SC,1,TRUE
Coordinate geometry (CBSE),Class 10,MATHEMATICS,CGC,1,TRUE
Probability (CBSE),Class 10,MATHEMATICS,PC2,1,TRUE
Triangles (CBSE),Class 10,MATHEMATICS,TC,1,TRUE
Circles (CBSE),Class 10,MATHEMATICS,CC,1,TRUE
Trigonometrical identities (ICSE),Class 10,MATHEMATICS,TII,1,TRUE
Heights and distances (ICSE),Class 10,MATHEMATICS,HADI,1,TRUE
"Cylinder, cone and sphere (Surface area and volume)  (ICSE)",Class 10,MATHEMATICS,CCASS,1,TRUE
Quadratic equations (ICSE),Class 10,MATHEMATICS,QEI,1,TRUE
Solving problem on quadratic equation (ICSE),Class 10,MATHEMATICS,SPOQE,1,TRUE
Remainder and factor theorems (ICSE),Class 10,MATHEMATICS,RAFTI,1,TRUE
Linear inequations (ICSE),Class 10,MATHEMATICS,LII,1,TRUE
Arithmetic progression (ICSE),Class 10,MATHEMATICS,API,1,TRUE
Geometric progression (ICSE),Class 10,MATHEMATICS,GPI,1,TRUE
Ratio and proportion (ICSE),Class 10,MATHEMATICS,RAPI,1,TRUE
Matrices (ICSE),Class 10,MATHEMATICS,MI3,1,TRUE
Graphical representation (Histograms & ogives) (ICSE),Class 10,MATHEMATICS,GRHOI,1,TRUE
"Measures of central tendency (mean, median & mode) (ICSE)",Class 10,MATHEMATICS,MOCTM,1,TRUE
Reflection (ICSE),Class 10,MATHEMATICS,RI4,1,TRUE
Section and mid-point formula (ICSE),Class 10,MATHEMATICS,SAMFI,1,TRUE
Equation of a line (ICSE),Class 10,MATHEMATICS,EOALI,1,TRUE
Probability (ICSE),Class 10,MATHEMATICS,PI,1,TRUE
GST (ICSE),Class 10,MATHEMATICS,GI,1,TRUE
Banking (ICSE),Class 10,MATHEMATICS,BI,1,TRUE
Shares and dividends (ICSE),Class 10,MATHEMATICS,SADI,1,TRUE
Similarity (ICSE),Class 10,MATHEMATICS,SI3,1,TRUE
Circles (ICSE),Class 10,MATHEMATICS,CI2,1,TRUE
Tangents and intersecting chords (ICSE),Class 10,MATHEMATICS,TAICI,1,TRUE
CELL DIVISION,Class 10,BIOLOGY,CD,1,TRUE
REPRODUCTION IN PLANTS & ANIMALS,Class 10,BIOLOGY,RIPA,1,TRUE
CONTROL AND COORDINATION (PART-1 : Nervous System and Sense Organs),Class 10,BIOLOGY,CACPN,1,TRUE
CONTROL AND COORDINATION (PART-2 : Chemical Coordination),Class 10,BIOLOGY,CACPC,1,TRUE
HEREDITY AND GENETIC DISORDERS,Class 10,BIOLOGY,HAGD,1,TRUE
Control and coordination (WB),Class 10,BIOLOGY,CACW,1,TRUE
Continuity of life (WB),Class 10,BIOLOGY,COLW,1,TRUE
Heredity and common genetic diseases (WB),Class 10,BIOLOGY,HACGD,1,TRUE
Evolution and adaptation (WB),Class 10,BIOLOGY,EAAW,1,TRUE
"Environment, its resources and their conservation (WB)",Class 10,BIOLOGY,EIRAT,1,TRUE
Discussion of previous lectures (WB),Class 10,BIOLOGY,DOPLW,1,TRUE
Control and coordination (CBSE),Class 10,BIOLOGY,CACC,1,TRUE
Reproduction (CBSE),Class 10,BIOLOGY,RC,1,TRUE
Heredity (CBSE),Class 10,BIOLOGY,HC,1,TRUE
Discussion of previous lectures (CBSE),Class 10,BIOLOGY,DOPLC,1,TRUE
Our environment (CBSE),Class 10,BIOLOGY,OEC,1,TRUE
Life processes (CBSE),Class 10,BIOLOGY,LPC,1,TRUE
Discussion of previous lectures (CBSE),Class 10,BIOLOGY,DOPLC2,1,TRUE
The nervous system (ICSE),Class 10,BIOLOGY,TNSI,1,TRUE
Sense organ (ICSE),Class 10,BIOLOGY,SOI,1,TRUE
The endocrine system (ICSE),Class 10,BIOLOGY,TESI,1,TRUE
Chemical coordination in plants (ICSE),Class 10,BIOLOGY,CCIPI,1,TRUE
"Structure of chromosome, cell cycle and cell division (ICSE)",Class 10,BIOLOGY,SOCCC,1,TRUE
Reproductive system (ICSE),Class 10,BIOLOGY,RSI,1,TRUE
Genetics – some basic fundamentals (ICSE),Class 10,BIOLOGY,GSBFI,1,TRUE
Human evolution (ICSE),Class 10,BIOLOGY,HEI,1,TRUE
Population – The increasing numbers and rising problems (ICSE),Class 10,BIOLOGY,PTINA,1,TRUE
Pollution – A rising environmental problem (ICSE),Class 10,BIOLOGY,PAREP,1,TRUE
The circulatory system (ICSE),Class 10,BIOLOGY,TCSI,1,TRUE
The excretory system (ICSE),Class 10,BIOLOGY,TESI2,1,TRUE
Photosynthesis (ICSE),Class 10,BIOLOGY,PI2,1,TRUE
Transpiration (ICSE),Class 10,BIOLOGY,TI,1,TRUE
Absorption by roots – The processes involved (ICSE),Class 10,BIOLOGY,ABRTP,1,TRUE
